"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"1902964-62","barley","","","","","","",""
"63-8069","barley","","","","","","",""
"63AB2987-32","barley","","","","","","",""
"6906-105","barley","","","","","","",""
"6B88-3213","barley","","","","","","",""
"6B92-7098","barley","","B7098","","EXCEL","HAZEN","",""
"ARCHER","barley","","","","","","",""
"ASPLUND","barley","CIho 4981","CIho4981, BCC0107","NB","","","","Cultivar accession from Norway"
"ATAHUALPA","barley","","","NB","MARIS_CANON","ATAHUALPA-TMP1","OC640 / Mari // Pioneer /2/ Maris Canon",""
"AUSTRALICHER_FREUHE","barley","","","","","","",""
"BAVARIA","barley","","","","","","0",""
"BAXTER`S_SIX_ROW","barley","","","","","","",""
"BETHGES","barley","","","","","","",""
"BLUE_LONG_HEAD","barley","","","","","","",""
"BR4635","barley","","","","","","",""
"BR5750-2","barley","","","","","","",""
"BREUN_1622","barley","","","","","","",""
"BUCKBILL","barley","","","","","","",""
"C6RW","barley","","","","","","",""
"CAMBRIUM","barley","","","","","","",""
"CC12","barley","","","","","","",""
"CEBEDA_CAPA","barley","","","","","","",""
"CHEVRON","barley","","","NB","","","",""
"CI7117-77","barley","","","","","","",""
"CIHO4738","barley","","","","","","",""
"CIHO5791","barley","","","","","","",""
"CIHO6611","barley","","","","","","",""
"CIHO7163","barley","","","","","","",""
"CLUB_MARIOUT","barley","","","","","","",""
"COAST","barley","","","","","","",""
"DANUBIA","barley","","","","","","",""
"DREGERUV","barley","","","","","","",""
"DUCKBILL","barley","","","","","","",""
"EVEREST","barley","","","","","","",""
"FREDERICKSON","barley","","","","","","",""
"GOOD_DELTA","barley","PI 57752","PI57752, BCC0471","NB","","","","Landrace accession from Sharqiya Egypt"
"GULL","barley","","","","","","",""
"HANNA","barley","PI 232914","PI232914, CIHO10462, BCC0891","NB","","","","Landrace accession from Hungary"
"HB627","barley","","","","","","",""
"HEILS_FRANKEN","barley","","","","","","",""
"HOR211","barley","","","","","","",""
"HORDEUM_LAEVIGATUM","barley","","","","","","",""
"JET","barley","","","","","","",""
"JOTUN","barley","","","","","","",""
"KRIM","barley","","","","","","",""
"LINE#5","barley","","","","","","",""
"LION","barley","","","","","","",""
"LYLAPUR","barley","","","","","","",""
"M1807MC","barley","","","","","","",""
"M49","barley","","","","","","",""
"MN81-346","barley","","","","","","",""
"MANCHURIA","barley","CIho 2494","CIho2494, BCC0045","NB","","","","Cultivated accession from  United States"
"MASKIN","barley","PI 467359","PI467359, BCC1943","NB","","","","Cultivar accession from Norway"
"MICHIGAN_31604","barley","","","","","","",""
"MONTE_CRISTO","barley","PI 39368","PI39368, BCC0432","NB","","","","Landrace accession from Bihar India"
"ND12200","barley","","","","","","",""
"ND16918","barley","","","","","","",""
"NDB138","barley","PI 643212","PI643212, BCC2527","NB","","","","Breeding accession from North Dakota  United States"
"ODERBRUCKER","barley","","","","","","",""
"OLLI","barley","","","","","","",""
"OMUGI","barley","PI 87842","PI87842, BCC0573","NB","","","","Landrace accession from Kangwon Korea  North"
"OPAVSKY","barley","PI 268172","PI268172, BCC1005","NB","","","","Cultivar accession from Czechoslovakia"
"PALESTINE_10","barley","","","","","","",""
"PFC88209","barley","","","","","","",""
"PFLUGS_INTENSIV","barley","","","","","","",""
"PILLSBURY","barley","","","","","","",""
"PLUMAGE","barley","","","","","","",""
"Q4961-72","barley","","","","","","",""
"RAGUSA","barley","","","","","","",""
"S3170","barley","","","","","","",""
"S7122","barley","","","","","","",""
"S72114","barley","","","","","","",""
"SCANIA_BARLEY","barley","","","","","","",""
"SH98232","barley","","","","","","",""
"SMOOTH_AWN","barley","PI 221326","PI221326, BCC0856","NB","","","","Cultivated accession from Serbia"
"STAMN_CP_127","barley","","","","","","",""
"SULU","barley","","","","","","",""
"SVANHALS","barley","","","UN","","","",""
"TR207","barley","","","","","","",""
"TREBI","barley","","","","","","",""
"UM67-907","barley","","","","","","",""
"VALTICKY_B","barley","","","","","","",""
"VOLDAGSEN","barley","","","","","","",""
"WA3564","barley","","","","","","",""
"WEIHENSTEEPHAN_815","barley","","","","","","",""
"WPG6916-105","barley","","","","","","",""
"WPG793","barley","","","","","","",""
"WPG797-96-3","barley","","","","","","",""
"ZHEDAR1","barley","","","MNP","","","",""
"8909-45","barley","","","","HANNA","UNKNOWN","",""
"ATLAS","barley","PI 599621","PI599621, BCC2366","NB","COAST","UNKNOWN","","Cultivar accession from Czech Republic"
"BETHGE_II","barley","","","","","","","Landrace.  No pedigree"
"BETHGE_III","barley","","","","","","","Landrace.  No pedigree"
"BINDER","barley","CIho 1879","AbedBinder","","HANNA","","","Binder is a selection from Hanna  developed in Denmark 1916"
"CA_UM570","barley","","","","UM570","UNKNOWN","",""
"CRIEWENER_403","barley","","","","HANNA","UNKNOWN","",""
"DIAMANT","barley","PI 330397","PI330397, BCC1391","NB","VALTICKY","UNKNOWN","","Cultivar accession from Czechoslovakia"
"HADOSTRENG","barley","","","","HANNA","UNKNOWN","",""
"HAISA-TMP1","barley","","","","HANNA","UNKNOWN","",""
"HANA_VIII","barley","","","","HANNA","UNKNOWN","",""
"HEINE_0553","barley","","","","KNEIFEL","UNKNOWN","",""
"HEINES_HANNA","barley","","","","HANNA","UNKNOWN","",""
"KINDRED","barley","","","","WISCONSIN_PEDIGREE_38","UNKNOWN","",""
"KNEIFEL","barley","","","","HANNA","UNKNOWN","",""
"KNEIFEL_7813/75","barley","","","","KNEIFEL","UNKNOWN","",""
"M66","barley","","","","EXCEL","UNKNOWN","",""
"OAC21","barley","","","","MANCHURIA","UNKNOWN","",""
"PEATLAND","barley","","","","CHEVRON","UNKNOWN","",""
"PROSKOWETS","barley","","","","HANNA","UNKNOWN","",""
"STARNOVSKY_KNEIFEL","barley","","","","KNEIFEL","UNKNOWN","",""
"TRIUMPH","barley","PI 486153, Triumph (barley)","PI486153, BCC2071","NB","SCOTCH_COMMONS","UNKNOWN","Source of Rph12","Cultivar accession from Zimbabwe"
"6B98-9170-TMP1","barley","","","","6B92-7098","M75","",""
"6B98-9170","barley","","","","6B92-7098","6B98-9170-TMP1","",""
"135I-TMP2","barley","","","","C113-102","LACEY","",""
"135I-TMP1","barley","","","","135I-TMP2","LACEY","",""
"135I","barley","","","","135I-TMP1","LACEY","",""
"11719-59","barley","","","","8909-45","M66","",""
"AKKA","barley","","","","MONTE_CRISTO","ARLA","",""
"ALEXIS","barley","PI 564487, ALEXIS PI564487","PI564487, BCC2164","NB","BREUN_1622","TRIUMPH","Breun 1622 / Triumph","Cultivar accession from Bavaria Germany"
"ALSA","barley","","","","KNEIFEL_7813/75","HAHA","",""
"AMETYST-TMP3","barley","","","","HANACKY_JUBILENI","VALTICKY","",""
"AMETYST-TMP2","barley","","","","AMETYST-TMP3","","",""
"AMETYST-TMP1","barley","","","","VOLDAGSEN","AMETYST-TMP2","",""
"AMETYST","barley","","","","DIAMANT","AMETYST-TMP1","Domen // Valticky / Hanacky Jubileni /3/ Voldagsen /4/ Diamant",""
"ARGYLE","barley","","","","BONANZA","MN67-907","",""
"ARLA-TMP3","barley","","","","SVANHALS","OPAL","",""
"ARLA-TMP2","barley","","","","HANNA","ARLA-TMP3","",""
"ARLA-TMP1","barley","","","","MAJA","TAMMI","",""
"ARLA","barley","","","","ARLA-TMP2","ARLA-TMP1","Tammi / Maja /3/ Hanna //Svanhals / Opal",""
"AZURE-TMP1","barley","","","","NDB130","NORDIC","",""
"AZURE","barley","","","","AZURE-TMP1","BONANZA","Bonanza // Nordic / NDB130",""
"BALDER-TMP1","barley","","","","GULL","SCANIA_BARLEY","",""
"BALDER","barley","PI 235191","PI235191, BCC0907","NB","BALDER-TMP1","MAJA","Gull / Scania barley // Maja","Cultivar accession from Malmohus Sweden"
"BARBLESS","barley","","","","LION","ODERBRUCKER","",""
"BEARER","barley","","","","BLUE_LONG_HEAD","GORDON","",""
"BETZES","barley","PI 129430, Betzes","PI129430","SM","BETHGE_II","BETHGE_III","",""
"BONANZA-TMP3","barley","","","","JET","VANTAGE","",""
"BONANZA-TMP2","barley","","","","BONANZA-TMP3","VANTMORE","",""
"BONANZA-TMP1","barley","","","","BONANZA-TMP2","PARKLAND","",""
"BONANZA","barley","CIho 14003","BR6145-29-1, BT308","CA","BONANZA-TMP1","CONQUEST","Vantage / Jet // Vantmore /3/2* Parkland /4/ Conquest",""
"BOWERS","barley","","","","NDB130","WIS_X969-3","X969-3 *2/ B130",""
"BRANDON_3902-TMP3","barley","","","","PEATLAND","NEWAL","",""
"BRANDON_3902-TMP2","barley","","","","OAC21","BRANDON_3902-TMP3","",""
"BRANDON_3902-TMP1","barley","","","","OLLI","MONTCALM","",""
