"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"05RAT22","sativa","17570","","UNK","","","AC_RONALD/OT299",""
"05RAT26","sativa","17571","","UNK","","","AC_RONALD/OT299",""
"86AB4582","sativa","13061","","USD","","","Reselection from MONIDA",""
"87AB5125","sativa","9138","","USD","","","OGLE/75AB861",""
"87AB5632","sativa","9139","","USD","","","MONIDA/75AB861",""
"96AB9074","sativa","9140","","USD","","","ND852107/87AB6153",""
"97TRP21","sativa","9141","","UNK","","","ND862095/P76173A1",""
"97TRP72","sativa","9142","","UNK","JUD","JIM","ND880107/JIM",""
"97TRP77","sativa","9143","","UNK","","","ND862415/BRAWN",""
"99P26-BY1D","sativa","14574","","UNK","","","RIEL/ND931475//HIFI",""
"AC_ANTOINE","sativa","98","","OTW","","","TERRA/MARION",""
"AC_ASSINIBOIA","sativa","2663, AC Assiniboia (oat)","OT275","MTB","90GC144","ROBERT","90GC144/ROBERT",""
"AC_AYLMER","sativa","92","OA966-1","OTW","OA905-1-69","06086","OA905-1-69/06086",""
"AC_FRANCIS","sativa","41","","OTW","","","05619/NEWMAN",""
"AC_MEDALLION","sativa","339","","MTB","90GC142_143","DUMONT","90GC142_143/DUMONT",""
"AC_PREAKNESS","sativa","2518","","MTB","W82393","OT233","W82393/OT233",""
"AC_STEWART","sativa","270","","OTW","OGLE","04377","OGLE/04377",""
"ALCYON","sativa","2362","LAFAYETTE, OA1017-1","OTW","","","OA906-1-16*3/PC68",""
"BEACH","sativa","17997","ND951394","NDS","ND891126","ND914832","ND891126/ND914832",""
"BELLE","sativa","PI 592527, 6372","X5673-2","UWM","DON","WIX3969-2","DON/WIX3969-2",""
"BRAWN","sativa","PI 570656, 7412","","UIL","UNNAMED11598","DON","IL75-5667/OGLE//DON",""
"CALIBRE","sativa","3522","","CDC","GEMINI","CLINTFORD","GEMINI/CLINTFORD",""
"CDC_BOYER","sativa","3502, CDC Boyer (oat)","","CDC","SO82030","OT235","SO82030/OT235",""
"CDC_DANCER","sativa","3956","","CDC","OT344","W90279","OT344/W90279",""
"CDC_ORRIN","sativa","5800","","CDC","OT349","J775-1","OT349/J775-1",""
"CDC_PACER","sativa","3509","","CDC","W84425","OT751","W84425/OT751",""
"CDC_SOL-FI","sativa","9182, CDC Sol-Fi (oat)","OT3009, SA98741","CDC","N979-5-1","OT366","N979-5-1/OT366",""
"CDC_WEAVER","sativa","8596","","CDC","OT369","OT2007","OT369/OT2007",""
"DERBY","sativa","2517","","CDC","CALIBRE","CASCADE","CALIBRE/CASCADE",""
"IAL24-5","sativa","","","ISU","","","STARTER/PROAT",""
"IAR30-20","sativa","","","ISU","","","SHELDON/2/OGLE/DON",""
"IAR66-6","sativa","","","ISU","HORICON","DON","HORICON/DON",""
"IA00010-6-1","sativa","13566","","ISU","IL94-784","BLAZE","IL94-784/BLAZE",""
"IA00020-12-3","sativa","18177","","ISU","WABASHA","IL94-784","WABASHA/IL94-784",""
"IA00027-11-1","sativa","14784","","ISU","","","P91302A4-2-2-1-5/MO1022-1",""
"IA00032-8-2","sativa","18178","","ISU","IL94-784","CHAPS","IL94-784/CHAPS",""
"IA00044-12-1","sativa","18179","","ISU","","","MO1022-1/CHAPS",""
"IA00059-9-1","sativa","14787","","ISU","","","NEWDAK/PREMIER//SESQUI",""
"IA01005-2","sativa","18187","","ISU","","","JIM/6/PRAIRIE/MN841810/5/HAZEL/MN851810/4/SHELDON//OGLE/DON/3/MN841823",""
