Breeding Program,Code,Collaborator,Description,Institution
AAFC Canada,CA,,,AAFC Canada
Ackermann GmbH,ACK,Claus Einfeldt,,Ackermann GmbH
AgriPro Syngenta,APS,,,Syngenta
Busch Agricultural Resources Inc,BA,,Plant breeder,Busch Agricultural Resources Inc.
CIMMYT,CM,,,CIMMYT
Cornell University,CNL,Mark Sorrells,Plant breeder,Cornell University
Crop Development Centre,CDC,Aaron Beattie,,University of Saskatchewan
ICARDA,IC,,,ICARDA
James Hutton,JH,Joanne Russell,,James Hutton Institute
KWS Saat,KWS,,,KWS Saat SE
Limagrain Cereal Seeds,LMG,,,Limagrain Cereal Seeds
Montana State University,MT,Tom Blake,Plant breeder,Montana State University
N.I.Vavilov Research Institute of Plant Industry,VV,,,N.I.Vavilov Research Institute of Plant Industry
North Dakota State (NDSU 2-Row),N2,Richard Horsley,Plant breeder,North Dakota State University
North Dakota State (NDSU 6-Row),N6,Richard Horsley,Plant breeder,North Dakota State University
NSGC Barley,NB,Harold Bockelman,Germplasm Collection,National Small Grains Collection - Barley
Oregon State University,OSU,Patrick Hayes,Plant breeder,Oregon State University
Research Institute for Bioresources,RIB,Kaz Sato,,Okayama Univeristy
Secobra Recherches,SEC,,,Secobra Recherches
Spanish National Research Council (CSIC),CSIC,"Luis Cistue, Ignacio Romagosa",,Spanish National Research Council (CSIC)
University of California,UC,,,University of California
University of Minnesota - Agronomy,MN,Kevin Smith,Plant breeder,University of Minnesota
University of Minnesota - Pathology,EH,Eva Henningsen,Plant Pathology,University of Minnesota
University of Nebraska,NE,,,University of Nebraska
University of Wisconsin - Madison,UW,Lucia Gutierrez,,University of Wisconsin
Unknown,UN,,To accommodate germplasm of unknown origin,Unknown
USDA Aberdeen,AB,Jianli Chen,Plant breeder,"USDA/ARS-Aberdeen, ID"
Utah State,UT,David Hole,Plant breeder,Utah State University
Virginia Tech,VT,Carl Griffey,Plant breeder,Virginia Tech
Washington State University,WA,Steve Ullrich,Plant breeder,Washington State University
Kansas State / USDA Genotyping Lab,KSG,Jesse Poland,,Kansas State University
Leibniz Institute of Plant Genetics and Crop Plant Research,IPK,Martin Mascher,,Leibniz Institute of Plant Genetics and Crop Plant Research
Montana State Drought Trials,MTD,Tom Blake,Drought and Irrigation Trials,Montana State University
NDSU Plant Pathology,MWP,Stephen Neate,Pathologist,North Dakota State University
NDSU Plant Science,NDQ,Paul Schwarz,Malting Quality,North Dakota State University
UC Davis Pathology,UCP,Lee Jackson,Pathologist,University of California
UC Riverside Close Lab,UCR,Tim Close,Genotype,"University of California, Riverside"
UMN Pathology,MNP,Brian Steffenson,Pathologist,University of Minnesota
University of Minnesota Genomics,UMG,,,University of Minnesota
USDA-ARS Aberdeen ID,ID,Gongshe Hu,Elite 2 rows,"USDA/ARS-Aberdeen, ID"
USDA-ARS Fargo ND,NDG,Shiaoman Chao,Genotyper,USDA-Agricultural Research
USDA-ARS Madison WI,WIQ,Mitch Wise,Research Chemist,USDA-ARS
USDA-ARS Raleigh NC,NCG,Gina Brown-Guedira,,Eastern Regional Small Grains Genotyping Lab
Virginia Tech Pathology,VTP,Carl Griffey,Pathologist,Virginia Tech
Virginia Tech Winter Hardiness,VTC,Carl Griffey,Winter hardiness Traits,Virginia Tech
WSU Food Quality,WAQ,Byung-Kee Baik,Food Quality,Washington State University
