Breeding Program,Code,Collaborator,Description,Institution
"AAES, Auburn University",AUB,Kathryn Glass,"Alabama Agricultural Experiment Station (AAES), Auburn University, AL-USA.",Auburn University
AAFC Agassiz,ABC,,"Agriculture and Agri-Food Canada (AAFC) Pacific Agri-Food Research Centre (PARC) in Agassiz, BC-CAN.",Agriculture and Agri-Food Canada
AAFC Brandon,MTB,Jennifer W. Mitchell-Fetch,"Agriculture and Agri-Food Canada (AAFC) Brandon Research Centre, MB-CAN.",Agriculture and Agri-Food Canada
AAFC Lacombe,LAC,Jennifer W. Mitchell-Fetch,"Agriculture and Agri-Food Canada (AAFC) Lacombe Research Centre, AB-CAN.",Agriculture and Agri-Food Canada
AAFC Ottawa,OTW,Weikai Yan,"Agriculture and Agri-Food Canada (AAFC) Eastern Cereal and Oilseed Research Centre (ECORC) in Ottawa, ON-CAN.",Agriculture and Agri-Food Canada
AAFC Sainte-Foy,STF,,"Agriculture and Agri-Food Canada (AAFC) Soils and Crops Research and Development Centre (SCRDC) in Quebec, QC-CAN.",Agriculture and Agri-Food Canada
Australian Department of Agriculture,AUS,,The Australian Government Department of Agriculture.,Australian Government Department of Agriculture
Boreal Plant Breeding Ltd.,BPB,,A Finnish plant breeding company.,Boreal Plant Breeding Ltd
Clemson University,CUO,,"Clemson University, SC-USA.",Clemson University
Cokers Pedigreed Seed Co.,COK,,A plant breeding company based in SC-USA.,Coker's Pedigreed Seed Co.
Colorado State University,CSU,,"Colorado State University, CO-USA.",Colorado State University
Connecticut AES,CON,,"The Connecticut Agricultural Experiment Station, CT-USA.",The Connecticut Agricultural Experiment Station
Cornell University,CUA,Mark E. Sorrells,"Cornell University, NY-USA.",Cornell University
Dominion Rust Research Laboratory,DOM,,"Dominion Rust Research Laboratory, MB-CAN.",University of Manitoba
General Mills Inc.,GMI,Paul Richter,"A multinational manufacturer and marketer of branded consumer foods based in Minneapolis, Minnesota.",General Mills Inc.
Graminor AS,GRA,,"A Norwegian plant breeding company based at Bjorke Research Station, Hamar, Norway.",Graminor AS
Groetzner Pflanzenzucht GmbH & Co. KG,GRP,,"A German plant breeding company based in Hamburg, Germany.",Groetzner Pflanzenzucht GmbH & Co. KG
Harvard University,HAR,,"Harvard University, MA-USA",Harvard University
"IHAR, Poland",PBA,B. Lapinski,"The Plant Breeding and Acclimatization Institute (IHAR) National Research Institute is the largest Polish research centre in the multidisciplinary area of crop improvement, biotechnology, germplasm conservation and enhancement.",Plant Breeding and Acclimatization Institute
Indian Agricultural Research Institute,IAR,,"Indian Agricultural Research Institute, Indian Council of Agricultural Research, an autonomous organization under the Department of Agricultural Research and Education, Ministry of Agriculture, Government of India.",Indian Agricultural Research Institute
Instituto de Investigaciones Agropecuarias,INI,,The Agricultural Research Institute of Chile.,Instituto de Investigaciones Agropecuarias
"INTA, Argentina",INA,,The National Agricultural Technology Institute is an Argentine federal agency.,Instituto Nacional de Technologia Agropecuaria
Interessengemeinschaft Pflanzenzucht GmbH,IGP,,A cooperative marketing organisation composed of 11 plant breeders.,Interessengemeinschaft Pflanzenzucht GmbH
Iowa State University,ISU,,"Iowa State University, IA-USA.",Iowa State University
Kansas State University,KSU,,"Kansas State University, KS-USA.",Kansas State University
KWS SAAT SE,KWS,,A German plant breeding company.,KWS SAAT SE
Lemaire Deffontaines,LEM,,A French plant breeding company.,Lemaire Deffontaines
