Accession,Character,Value
0-27-5-0,Growth habit,S
0-27-5-0,Awned,N
0-27-5-0,Rht-B1b,A
0-27-5-0,Rht-D1b,A
0-27-5-0,Ppd-D1a,A
0-27-5-0,Species,aestivum
0-7-2-0,Growth habit,S
0-7-2-0,Rht-B1b,A
0-7-2-0,Rht-D1b,A
0-7-2-0,Ppd-D1a,A
0-7-2-0,Species,aestivum
0.189,Species,durum
001169-7E15,Growth habit,W
001169-7E15,Species,aestivum
00B553,Growth habit,W
00B553,Species,aestivum
00H04*J3,Growth habit,S
00H04*J3,Species,aestivum
00S0063-1,Hardness,H
00S0063-1,Growth habit,S
00S0063-1,Color,R
00S0063-1,Species,aestivum
00S0211-29-4,Growth habit,S
00S0211-29-4,Species,aestivum
00S0224-23,Hardness,H
00S0224-23,Growth habit,S
00S0224-23,Color,R
00S0224-23,Species,aestivum
00S0240-3,Hardness,H
00S0240-3,Growth habit,S
00S0240-3,Color,R
00S0240-3,Species,aestivum
00S0249-9,Hardness,H
00S0249-9,Growth habit,S
00S0249-9,Color,R
00S0249-9,Species,aestivum
00S0251-6,Hardness,H
00S0251-6,Growth habit,S
00S0251-6,Color,R
00S0251-6,Species,aestivum
00S0291-3,Growth habit,S
00S0291-3,Species,aestivum
00S0292-14,Growth habit,S
00S0292-14,Species,aestivum
00S0327-18,Hardness,H
00S0327-18,Growth habit,S
00S0327-18,Color,R
00S0327-18,Species,aestivum
00X0100-51,Growth habit,W
00X0100-51,Species,aestivum
01063-1-3-6-2-G2,Growth habit,W
01063-1-3-6-2-G2,Species,aestivum
011007A1-14,Hardness,S
011007A1-14,Growth habit,W
011007A1-14,Species,aestivum
011007A1-14-16-50,Hardness,S
011007A1-14-16-50,Growth habit,W
011007A1-14-16-50,Color,R
011007A1-14-16-50,Awned,N
011007A1-14-16-50,Chaff,bright
011007A1-14-16-50,Species,aestivum
011007A1-14-2,Hardness,S
011007A1-14-2,Growth habit,W
011007A1-14-2,Species,aestivum
011007A1-14-44,Hardness,S
011007A1-14-44,Growth habit,W
011007A1-14-44,Species,aestivum
011010A1-15,Hardness,S
011010A1-15,Growth habit,W
011010A1-15,Species,aestivum
011034A1-3,Hardness,S
011034A1-3,Growth habit,W
011034A1-3,Species,aestivum
011035A1-71,Hardness,S
011035A1-71,Growth habit,W
011035A1-71,Species,aestivum
011036A1-14,Hardness,S
011036A1-14,Growth habit,W
011036A1-14,Species,aestivum
011050A1-13,Hardness,S
011050A1-13,Growth habit,W
011050A1-13,Species,aestivum
011099A1-2,Hardness,S
011099A1-2,Growth habit,W
011099A1-2,Species,aestivum
011124-1-42-13,Growth habit,W
011124-1-42-13,Species,aestivum
011151B1-93,Hardness,S
011151B1-93,Growth habit,W
011151B1-93,Species,aestivum
011388-8-4-5,Growth habit,W
011388-8-4-5,Species,aestivum
0128A1--2,Hardness,S
0128A1--2,Growth habit,W
0128A1--2,Species,aestivum
0128A1-22,Hardness,S
0128A1-22,Growth habit,W
0128A1-22,Species,aestivum
0128A1-22-22,Hardness,S
0128A1-22-22,Growth habit,W
0128A1-22-22,Species,aestivum
0128A1-36,Hardness,S
0128A1-36,Growth habit,W
0128A1-36,Species,aestivum
0128A1-44-1-7,Hardness,S
0128A1-44-1-7,Growth habit,W
0128A1-44-1-7,Species,aestivum
0128A1-44-4-3,Hardness,S
0128A1-44-4-3,Growth habit,W
0128A1-44-4-3,Species,aestivum
0172A1-12,Hardness,S
0172A1-12,Growth habit,W
0172A1-12,Species,aestivum
0172A1-12-1,Hardness,S
0172A1-12-1,Growth habit,W
0172A1-12-1,Species,aestivum
0175A1-31-4,Hardness,S
0175A1-31-4,Growth habit,W
0175A1-31-4,Species,aestivum
0175A1-31-4-3,Hardness,S
0175A1-31-4-3,Growth habit,W
0175A1-31-4-3,Species,aestivum
0175A1-37,Hardness,S
0175A1-37,Growth habit,W
0175A1-37,Species,aestivum
0175A1-37-4,Hardness,S
0175A1-37-4,Growth habit,W
0175A1-37-4,Species,aestivum
0175A1-37-4-1,Hardness,S
0175A1-37-4-1,Growth habit,W
0175A1-37-4-1,Color,R
0175A1-37-4-1,Awned,N
0175A1-37-4-1,Chaff,bright
0175A1-37-4-1,Species,aestivum
0175A1-37-5-1-2,Hardness,S
0175A1-37-5-1-2,Growth habit,W
0175A1-37-5-1-2,Species,aestivum
0175A1-44,Hardness,S
0175A1-44,Growth habit,W
0175A1-44,Species,aestivum
0179A1-17,Hardness,S
0179A1-17,Growth habit,W
0179A1-17,Species,aestivum
0180A1-16,Hardness,S
0180A1-16,Growth habit,W
0180A1-16,Species,aestivum
01931A1-5,Hardness,S
01931A1-5,Growth habit,W
01931A1-5,Species,aestivum
01946A1-16,Hardness,S
01946A1-16,Growth habit,W
01946A1-16,Species,aestivum
01946A1-16-48-5,Hardness,S
01946A1-16-48-5,Growth habit,W
01946A1-16-48-5,Species,aestivum
01S0094-65,Hardness,H
01S0094-65,Growth habit,S
01S0094-65,Color,R
01S0094-65,Species,aestivum
01S0236-6,Growth habit,S
01S0236-6,Species,aestivum
01S0263-28,Growth habit,S
01S0263-28,Species,aestivum
01S0263-29,Growth habit,S
01S0263-29,Species,aestivum
01S0335-4-3,Hardness,H
01S0335-4-3,Growth habit,S
01S0335-4-3,Color,R
01S0335-4-3,Species,aestivum
01S0377-6,Growth habit,S
01S0377-6,Species,aestivum
01S0380-18,Hardness,H
01S0380-18,Growth habit,S
01S0380-18,Color,R
01S0380-18,Species,aestivum
02444A1-23-1,Hardness,S
02444A1-23-1,Growth habit,W
02444A1-23-1,Species,aestivum
02444A1-23-1-3,Hardness,S
02444A1-23-1-3,Growth habit,W
02444A1-23-1-3,Color,R
02444A1-23-1-3,Awned,N
02444A1-23-1-3,Chaff,bright
02444A1-23-1-3,Species,aestivum
02444A1-23-1-3-4,Hardness,S
02444A1-23-1-3-4,Growth habit,W
02444A1-23-1-3-4,Color,R
02444A1-23-1-3-4,Chaff,bright
02444A1-23-1-3-4,Height,short
02444A1-23-1-3-4,Species,aestivum
02444A1-23-6,Hardness,S
02444A1-23-6,Growth habit,W
02444A1-23-6,Species,aestivum
02444A1-23-9,Hardness,S
02444A1-23-9,Growth habit,W
02444A1-23-9,Species,aestivum
02JH000014,Hardness,S
