Character,Category,TO,Chromosome,Arm,Description,Values,
ALMT1,Agronomic,TO:0000482,4D,long,The Al tolerant allele of the ALMT1 promoter on 4DL.,"P,A,H",
Growth habit,Agronomic,TO:0000432,,,"Vernalization requirement: Spring (S), Winter (W), or Facultative (F).","S,W,F",
Height,Agronomic,TO:0000207,,,"Qualitative height; ""short"" is semi-dwarf.","tall,short",
Ppd-A1a.1,Agronomic,TO:0000229,2A,short,Photoperiod response locus on chromosome 2AS. Ppd-A1a.1 allele imparts photoperiod insensitivity due to deletion in the promoter region and results in earlier flowering under short days. Relative strength of insensitive alleles: Ppd-D1a>Ppd-A1a.1>Ppd-B1a.,"P,A,H",
Ppd-A1b,Agronomic,TO:0000229,2A,short,"Photoperiod response locus on chromosome 2AS. In the absence of other Ppd1 insensitive alleles, the Ppd-A1b allele imparts photoperiod sensitivity and later flowering under short days.","P,A,H",
Ppd-B1a_ChineseSpring,Agronomic,TO:0000229,2B,short,Photoperiod response locus on chromosome 2BS. Ppd-B1a_Chinese Spring allele indicates there is > 1 copy of Ppd-B1 that imparts photoperiod insensitivity. Increasing copy number results in early flowering under short days. Relative strength of insensitive alleles: Ppd-D1a>Ppd-A1a.1>Ppd-B1a.,"P,A,H",
Ppd-B1a_Sonora64,Agronomic,TO:0000229,2B,short,Photoperiod response locus on chromosome 2BS. Ppd-B1a_Sonora64 allele indicates there is > 1 copy of Ppd-B1 that imparts photoperiod insensitivity. Increasing copy number results in early flowering under short days. Relative strength of insensitive alleles: Ppd-D1a>Ppd-A1a.1>Ppd-B1a.,"P,A,H",
Ppd-B1b,Agronomic,TO:0000229,2B,short,"Photoperiod response allele at locus on chromosome 2BS. In the absence of other Ppd1a insensitive alleles, the Ppd-B1b allele imparts photoperiod sensitivity and later flowering under short days.","P,A,H",
Ppd-B1_Null,Agronomic,TO:0000229,2B,short,"Photoperiod response allele at locus on chromosome 2BS. Ppd-B1_null is associated with the 2BS:2GS.2GL:2BL translocation. Loss of the locus is putativley associated sensitivity and later flowering under short days, in the absence of other Ppd1 insensitive alleles.","P,A,H",
Ppd-D1a,Agronomic,TO:0000229,2D,short,Photoperiod response locus on chromosome 2DS. Ppd-D1a allele imparts photoperiod insensitivity due to deletion in the 5' UTR and results in early flowering. Relative strength of insensitive alleles: Ppd-D1a>Ppd-A1a.1>Ppd-B1a.,"P,A,H",
Ppd-D1b,Agronomic,TO:0000229,2D,short,Photoperiod response locus on chromosome 2DS. Ppd-D1b allele imparts photoperiod sensitivity and later flowering under short days.,"P,A,H",
Ppd-D1b_Norstar,Agronomic,TO:0000229,2D,short,Photoperiod response locus on chromosome 2DS. Ppd-D1b_Norstar allele has a 5 bp deletion spanning exons 7 and 8 resulting in a truncated protein. Putativley imparts photoperiod sensitivity and later flowering under short days.,"P,A,H",
Rht-8c,Agronomic,TO:0000207,2D,short,Reduced height allele on chromosome 2DS. Based on linkage with 192 bp allele Xgwm261 marker.,"P,A,H",
