Name,Abbreviation,Country Code,Country Name,Program,Type,Latitude,Longitude,Altitude
"Aberdeen, ID-USA","ABEID","USA","United States of America","USDA-ARS Aberdeen: data","Farm",42.96,-122.83,
"Aberdeen, SD-USA","ABESD","USA","United States of America","South Dakota State University: data","Farm",45.4647,-98.48648,
"Aberystwyth, United Kingdom","ABEUN","GBR","United Kingdom","University of Aberystwyth IBERS: data","Farm",,,
"Afsin, Turkey","AFSTU","TUR","Turkey","KSU Turkey: data","Farm",,,
"Akademija, Lithuania","AKALI","LTU","Lithuania","ASU Lithuania: data","Farm",,,
"Albion, NY-USA","ALBNY","USA","United States of America","Cornell University: data","Farm",43.21915,-78.259539,
"Ames, IA-USA","AMEIA","USA","United States of America","Iowa State University: data","Farm",,,
"Antigo, WI-USA","ANTWI","USA","United States of America","University of Wisconsin: data","Farm",45.160809,-89.093942,
"Ardmore, OK-USA","ARDOK","USA","United States of America","The Samuel Roberts Noble Foundation: data","Farm",,,
"Arlington, WI-USA","ARLWI","USA","United States of America","University of Wisconsin: data","Farm",,,
"As, Norway","ASNO","USA","Norway","NMBU Norway: data","Farm",,,
"Ashfield, WI-USA","ASHWI","USA","United States of America","University of Wisconsin: data","Farm",44.50024,-90.00041,
"Bad Vilbel, Germany","BADGE","USA","Germany","Dottenfelderhof Germany: data","Farm",,,
"Batavia, NY-USA","BATNY","USA","United States of America","Cornell University: data","Farm",43.014762,-78.162578,
"Baton Rouge, LA-USA","BATLA","USA","United States of America","Louisiana State University: data","Farm",,,
"Beresford, SD-USA","BERSD","USA","United States of America","South Dakota State University: data","Farm",,,
"Bison, SD-USA","BISSD","USA","United States of America","South Dakota State University: data","Farm",45.52026,-102.46127,
"Blacksburg, VA-USA","BLAVA","USA","United States of America","Virginia Tech: data","Farm",,,
"Boone, IA-USA","BOOIA","USA","United States of America","Practical Farmers of Iowa: data","Farm",42.0597,-93.88023,
"Brandon, MB-CAN","BRAMB","USA","United States of America","AAFC Brandon: data","Farm",,,
"Brookings, SD-USA","BROSD","USA","United States of America","South Dakota State University: data","Farm",,,
"Brooksville, MS-USA","BROMS","USA","United States of America","Mississippi State University: data","Farm",,,
"Buffalo County, WI-USA","BUFWI","USA","United States of America","University of Wisconsin: data","Farm",44.37983,-91.75447,
